step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
89	0x1.8d07da0000000p-5	0x1.25ff360000000p+0	0x1.22bcac0000000p+0	0x1.65be640000000p-4	0x1.c5e2f80000000p+10
90	0x1.b6b0ce0000000p-5	0x1.c51b980000000p-1	0x1.bd09220000000p-1	0x1.2562e80000000p-4	0x1.c5e2fa0000000p+10
91	0x1.5fc5b60000000p-5	0x1.7fa9720000000p-1	0x1.7921e40000000p-1	0x1.dcbac60000000p-5	0x1.c5e2fa0000000p+10
92	0x1.e21e140000000p-5	0x1.512bd60000000p-1	0x1.49be420000000p-1	0x1.a54caa0000000p-5	0x1.c5e2fa0000000p+10
93	0x1.3c5dfa0000000p-4	0x1.9d84720000000p-1	0x1.953c000000000p-1	0x1.03e1e40000000p-4	0x1.c5e2fa0000000p+10
94	0x1.b422940000000p-5	0x1.37625c0000000p+0	0x1.323f9a0000000p+0	0x1.b0b8f60000000p-4	0x1.c5e2fa0000000p+10
95	0x1.a1280e0000000p-5	0x1.a6a1c80000000p-1	0x1.9abc4e0000000p-1	0x1.0b42940000000p-4	0x1.c5e2fa0000000p+10
96	0x1.30e0ca0000000p-5	0x1.1a3cee0000000p-1	0x1.12e9d60000000p-1	0x1.4b28580000000p-5	0x1.c5e2fa0000000p+10
97	0x1.3f133e0000000p-5	0x1.20442a0000000p-1	0x1.19e0d80000000p-1	0x1.584ad60000000p-5	0x1.c5e2fa0000000p+10
98	0x1.0146860000000p-4	0x1.2973e40000000p+0	0x1.2630720000000p+0	0x1.631ecc0000000p-4	0x1.c5e2fa0000000p+10
99	0x1.348fe00000000p-5	0x1.1a08440000000p-1	0x1.135d3e0000000p-1	0x1.638c240000000p-5	0x1.c5e2fa0000000p+10
