step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
83	0x1.a5a5b00000000p-4	0x1.2cc2120000000p+2	0x1.d2289a0000000p+1	0x1.75a1b80000000p+1	0x1.c2c5e40000000p+10
84	0x1.20f2540000000p-3	0x1.138fe00000000p+6	0x1.9f9cbc0000000p+5	0x1.69a96c0000000p+5	0x1.c2c5e40000000p+10
85	0x1.355d960000000p-3	0x1.71b6500000000p+2	0x1.1bb5a00000000p+2	0x1.ceee700000000p+1	0x1.c2c5e40000000p+10
86	0x1.2a0ab00000000p-3	0x1.b6dc960000000p+2	0x1.520a640000000p+2	0x1.12d12e0000000p+2	0x1.c2c5e40000000p+10
87	0x1.c8feb40000000p-4	0x1.22ae3a0000000p+1	0x1.e6cb940000000p+0	0x1.1ac3ce0000000p+0	0x1.c2c5e40000000p+10
88	0x1.b23d8e0000000p-4	0x1.3fa1100000000p+1	0x1.efb17c0000000p+0	0x1.7b16900000000p+0	0x1.c2c5e40000000p+10
89	0x1.b66a700000000p-4	0x1.caa7c40000000p+2	0x1.5725b00000000p+2	0x1.2dd0440000000p+2	0x1.c2c5e40000000p+10
90	0x1.16b0860000000p-3	0x1.d105580000000p+2	0x1.72dce00000000p+2	0x1.0f3ce60000000p+2	0x1.c2c5e40000000p+10
91	0x1.dd8c060000000p-4	0x1.19879c0000000p+3	0x1.c139b80000000p+2	0x1.4dfe940000000p+2	0x1.c2c5e40000000p+10
92	0x1.dd84200000000p-4	0x1.aaa5520000000p+2	0x1.4ac72a0000000p+2	0x1.0b5e600000000p+2	0x1.c2c5e40000000p+10
93	0x1.fc6a460000000p-4	0x1.e323bc0000000p+2	0x1.817cbe0000000p+2	0x1.1d98fa0000000p+2	0x1.c2c5e40000000p+10
94	0x1.0106a60000000p-2	0x1.1489340000000p+7	0x1.a90ce00000000p+6	0x1.6199100000000p+6	0x1.c2c5e40000000p+10
95	0x1.6ed7560000000p-4	0x1.cd5cc60000000p+1	0x1.5a3e1e0000000p+1	0x1.288da60000000p+1	0x1.c2c5e40000000p+10
96	0x1.6e03f60000000p-3	0x1.024d820000000p+3	0x1.90aeb60000000p+2	0x1.3e4e0c0000000p+2	0x1.c2c5e40000000p+10
97	0x1.ed24ba0000000p-4	0x1.4831ba0000000p+5	0x1.f270a60000000p+4	0x1.aac8720000000p+4	0x1.c2c5e40000000p+10
98	0x1.8ea3a00000000p-4	0x1.4af7ee0000000p+2	0x1.fb42060000000p+1	0x1.a598780000000p+1	0x1.c2c5e40000000p+10
99	0x1.047d4e0000000p-3	0x1.b811340000000p+1	0x1.59d6d20000000p+1	0x1.04d9de0000000p+1	0x1.c2c5e60000000p+10
100	0x1.3afa220000000p-3	0x1.baadc40000000p+1	0x1.64042e0000000p+1	0x1.cb24740000000p+0	0x1.c2c5e60000000p+10
101	0x1.c0a60e0000000p-4	0x1.07358a0000000p+2	0x1.915bd40000000p+1	0x1.46e98a0000000p+1	0x1.c2c5e60000000p+10
102	0x1.06b53a0000000p-3	0x1.0f18a40000000p+4	0x1.94f4780000000p+3	0x1.66fcde0000000p+3	0x1.c2c5e60000000p+10
103	0x1.21a7e00000000p-3	0x1.5e513e0000000p+3	0x1.0ec5dc0000000p+3	0x1.babc760000000p+2	0x1.c2c5e60000000p+10
104	0x1.10f1440000000p-3	0x1.ce8e9e0000000p+1	0x1.6654360000000p+1	0x1.0746580000000p+1	0x1.c2c5e60000000p+10
105	0x1.e8de7a0000000p-4	0x1.41a3980000000p+3	0x1.e285a40000000p+2	0x1.a5fff40000000p+2	0x1.c2c5e60000000p+10
106	0x1.03e40e0000000p-3	0x1.0486e40000000p+3	0x1.8da2f80000000p+2	0x1.4dc6620000000p+2	0x1.c2c5e60000000p+10
107	0x1.01708a0000000p-2	0x1.66b8320000000p+4	0x1.0ec8920000000p+4	0x1.d38ec40000000p+3	0x1.c2c5e60000000p+10
108	0x1.9b97360000000p-4	0x1.24b81c0000000p+2	0x1.c202a60000000p+1	0x1.72387a0000000p+1	0x1.c2c5e60000000p+10
109	0x1.7ba4740000000p-4	0x1.8f58a60000000p+0	0x1.488d5e0000000p+0	0x1.995cf20000000p-1	0x1.c2c5e60000000p+10
110	0x1.774ff60000000p-4	0x1.e3b6cc0000000p+0	0x1.8de71a0000000p+0	0x1.ce669e0000000p-1	0x1.c2c5e60000000p+10
111	0x1.0c80ae0000000p-3	0x1.a327c60000000p+2	0x1.4c715a0000000p+2	0x1.ed3ed00000000p+1	0x1.c2c5e60000000p+10
112	0x1.8215840000000p-4	0x1.ac80920000000p+0	0x1.6591240000000p+0	0x1.afbe9e0000000p-1	0x1.c2c5e60000000p+10
113	0x1.256bfe0000000p-3	0x1.067a8c0000000p+2	0x1.afc43e0000000p+1	0x1.0ffb960000000p+1	0x1.c2c5e60000000p+10
114	0x1.d9c2ae0000000p-4	0x1.12dd880000000p+5	0x1.9a0f460000000p+4	0x1.6dc1c80000000p+4	0x1.c2c5e60000000p+10
115	0x1.79173a0000000p-4	0x1.496ae60000000p+1	0x1.0565180000000p+1	0x1.84f54e0000000p+0	0x1.c2c5e60000000p+10
116	0x1.4d29ee0000000p-4	0x1.1e2faa0000000p+3	0x1.a1ea5a0000000p+2	0x1.85fbce0000000p+2	0x1.c2c5e60000000p+10
117	0x1.c53a8a0000000p-4	0x1.1e45380000000p+1	0x1.df12be0000000p+0	0x1.1d654a0000000p+0	0x1.c2c5e60000000p+10
118	0x1.118c960000000p-4	0x1.6eac1e0000000p+1	0x1.2662a00000000p+1	0x1.adb9740000000p+0	0x1.c2c5e60000000p+10
119	0x1.a1306a0000000p-4	0x1.021a1c0000000p+2	0x1.91bfd40000000p+1	0x1.3ae50c0000000p+1	0x1.c2c5e60000000p+10
120	0x1.6a2aa40000000p-4	0x1.3bf7c00000000p+3	0x1.da5a580000000p+2	0x1.a05ad20000000p+2	0x1.c2c5e60000000p+10
121	0x1.134fe80000000p-3	0x1.8be3780000000p+2	0x1.3293640000000p+2	0x1.e38ca40000000p+1	0x1.c2c5e60000000p+10
122	0x1.8d65880000000p-4	0x1.28a6600000000p+1	0x1.dae8a80000000p+0	0x1.518ade0000000p+0	0x1.c2c5e60000000p+10
123	0x1.5dcf880000000p-4	0x1.c27c060000000p+2	0x1.506fb80000000p+2	0x1.2a05660000000p+2	0x1.c2c5e60000000p+10
124	0x1.45e5460000000p-4	0x1.aa0d7e0000000p+2	0x1.33abc20000000p+2	0x1.25d4d40000000p+2	0x1.c2c5e80000000p+10
125	0x1.b2f5960000000p-4	0x1.1eef900000000p+3	0x1.b44ec80000000p+2	0x1.6ef3980000000p+2	0x1.c2c5e80000000p+10
126	0x1.9fc76e0000000p-4	0x1.01f84a0000000p+1	0x1.a5cde80000000p+0	0x1.1624c60000000p+0	0x1.c2c5e80000000p+10
127	0x1.244d940000000p-4	0x1.a0d3d40000000p+1	0x1.4067780000000p+1	0x1.04bd760000000p+1	0x1.c2c5e80000000p+10
128	0x1.288d540000000p-4	0x1.f141fc0000000p+0	0x1.97fd660000000p+0	0x1.08c14a0000000p+0	0x1.c2c5e80000000p+10
129	0x1.143b1e0000000p-4	0x1.28aafa0000000p+2	0x1.d0a73e0000000p+1	0x1.6ec0240000000p+1	0x1.c2c5e80000000p+10
