step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
118	0x1.21b61e0000000p-4	0x1.9559d20000000p+1	0x1.4103d00000000p+1	0x1.eaf1dc0000000p+0	0x1.c2c5e60000000p+10
119	0x1.5557920000000p-4	0x1.2744d20000000p+3	0x1.bfeb220000000p+2	0x1.7f695a0000000p+2	0x1.c2c5e60000000p+10
120	0x1.59916a0000000p-4	0x1.dc0dc80000000p+1	0x1.75b5040000000p+1	0x1.23b4000000000p+1	0x1.c2c5e60000000p+10
121	0x1.02db900000000p-3	0x1.0f10340000000p+2	0x1.a99b2c0000000p+1	0x1.3f27aa0000000p+1	0x1.c2c5e60000000p+10
122	0x1.907db60000000p-4	0x1.4aa3360000000p+2	0x1.f7cf240000000p+1	0x1.a85b5a0000000p+1	0x1.c2c5e60000000p+10
123	0x1.69282e0000000p-4	0x1.5499320000000p+3	0x1.04f6060000000p+3	0x1.b3d7f40000000p+2	0x1.c2c5e60000000p+10
124	0x1.42878a0000000p-4	0x1.283d500000000p+2	0x1.bc4bc20000000p+1	0x1.84ec4a0000000p+1	0x1.c2c5e60000000p+10
125	0x1.02343e0000000p-3	0x1.2fb9d80000000p+3	0x1.cb55420000000p+2	0x1.8631560000000p+2	0x1.c2c5e60000000p+10
126	0x1.a048ba0000000p-4	0x1.c0f9fc0000000p+1	0x1.6453380000000p+1	0x1.02cac00000000p+1	0x1.c2c5e60000000p+10
127	0x1.0912460000000p-4	0x1.1364200000000p+1	0x1.c6b9ae0000000p+0	0x1.28cf680000000p+0	0x1.c2c5e60000000p+10
128	0x1.29e7660000000p-4	0x1.e6185c0000000p+0	0x1.9075c80000000p+0	0x1.05ec3a0000000p+0	0x1.c2c5e60000000p+10
129	0x1.d1517a0000000p-5	0x1.b4073a0000000p+1	0x1.4efbae0000000p+1	0x1.12e3020000000p+1	0x1.c2c5e80000000p+10
130	0x1.9649540000000p-4	0x1.ca58cc0000000p+1	0x1.7801960000000p+1	0x1.fdfcf40000000p+0	0x1.c2c5e60000000p+10
131	0x1.c3c6a00000000p-4	0x1.da8e100000000p+7	0x1.6404fa0000000p+7	0x1.39c28c0000000p+7	0x1.c2c5e80000000p+10
132	0x1.433fd40000000p-4	0x1.4174160000000p+3	0x1.df40720000000p+2	0x1.aba1dc0000000p+2	0x1.c2c5e80000000p+10
133	0x1.5d66ea0000000p-4	0x1.923f540000000p+1	0x1.4082340000000p+1	0x1.dafd1a0000000p+0	0x1.c2c5e80000000p+10
134	0x1.7a2e180000000p-4	0x1.3c3f6c0000000p+1	0x1.05b9d40000000p+1	0x1.54c1fa0000000p+0	0x1.c2c5e80000000p+10
135	0x1.cb78240000000p-5	0x1.09c5c20000000p+2	0x1.9ede2e0000000p+1	0x1.49a50c0000000p+1	0x1.c2c5e80000000p+10
136	0x1.a9a7c00000000p-4	0x1.a271de0000000p+2	0x1.5427480000000p+2	0x1.e2c0fc0000000p+1	0x1.c2c5e80000000p+10
137	0x1.a80bb60000000p-4	0x1.c65d020000000p+6	0x1.61d9040000000p+6	0x1.1cc6de0000000p+6	0x1.c2c5e60000000p+10
138	0x1.2888620000000p-4	0x1.3437b40000000p+1	0x1.f524d40000000p+0	0x1.5764160000000p+0	0x1.c2c5e80000000p+10
139	0x1.02f9ee0000000p-4	0x1.17c4720000000p+1	0x1.cb511a0000000p+0	0x1.33d7a80000000p+0	0x1.c2c5e80000000p+10
