step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
81	0x1.ba78540000000p-4	0x1.a7f0760000000p+1	0x1.4558e40000000p+1	0x1.0bedda0000000p+1	0x1.c2c5e40000000p+10
82	0x1.0af6fa0000000p-3	0x1.e0c90c0000000p+1	0x1.72a2b40000000p+1	0x1.2d91ae0000000p+1	0x1.c2c5e40000000p+10
83	0x1.e1b7f60000000p-4	0x1.012a900000000p+2	0x1.7dd85c0000000p+1	0x1.5510dc0000000p+1	0x1.c2c5e40000000p+10
84	0x1.d953a00000000p-4	0x1.8264960000000p+1	0x1.29adc60000000p+1	0x1.df2e960000000p+0	0x1.c2c5e40000000p+10
85	0x1.9d04200000000p-4	0x1.6b67140000000p+0	0x1.1633ec0000000p+0	0x1.ab3f6c0000000p-1	0x1.c2c5e40000000p+10
86	0x1.f9782e0000000p-4	0x1.b248660000000p+1	0x1.3d635e0000000p+1	0x1.24f9a60000000p+1	0x1.c2c5e40000000p+10
87	0x1.aba8700000000p-4	0x1.b3f8200000000p+1	0x1.4b0d420000000p+1	0x1.17f68a0000000p+1	0x1.c2c5e40000000p+10
88	0x1.f3edca0000000p-4	0x1.4ab1fc0000000p+3	0x1.03af100000000p+3	0x1.9810e20000000p+2	0x1.c2c5e40000000p+10
89	0x1.1d59800000000p-3	0x1.0e86da0000000p+4	0x1.9765020000000p+3	0x1.63a60e0000000p+3	0x1.c2c5e40000000p+10
90	0x1.f246400000000p-4	0x1.9fc48a0000000p+1	0x1.3aab500000000p+1	0x1.09f0c00000000p+1	0x1.c2c5e60000000p+10
91	0x1.b659900000000p-4	0x1.240de00000000p+3	0x1.b7bfb20000000p+2	0x1.7f595a0000000p+2	0x1.c2c5e60000000p+10
92	0x1.01e99e0000000p-3	0x1.e7edd60000000p+1	0x1.6025120000000p+1	0x1.4e70d40000000p+1	0x1.c2c5e40000000p+10
93	0x1.b8d5e40000000p-4	0x1.2c59120000000p+1	0x1.ea52740000000p+0	0x1.513ef20000000p+0	0x1.c2c5e40000000p+10
94	0x1.d0f99e0000000p-4	0x1.27c4580000000p+1	0x1.cf94ac0000000p+0	0x1.663fac0000000p+0	0x1.c2c5e40000000p+10
95	0x1.05a1400000000p-3	0x1.188dcc0000000p+4	0x1.ad14820000000p+3	0x1.68fe0c0000000p+3	0x1.c2c5e40000000p+10
96	0x1.c656160000000p-4	0x1.c8bdbc0000000p+1	0x1.5d32b00000000p+1	0x1.2234c20000000p+1	0x1.c2c5e40000000p+10
97	0x1.99f5d60000000p-4	0x1.65ede40000000p+1	0x1.0e62b00000000p+1	0x1.cf51500000000p+0	0x1.c2c5e60000000p+10
98	0x1.79fec40000000p-4	0x1.e6234a0000000p+1	0x1.74dfe00000000p+1	0x1.363d5c0000000p+1	0x1.c2c5e60000000p+10
99	0x1.9645cc0000000p-4	0x1.727bda0000000p+1	0x1.2110be0000000p+1	0x1.caa3540000000p+0	0x1.c2c5e60000000p+10
100	0x1.591b940000000p-4	0x1.aff14a0000000p+0	0x1.6163360000000p+0	0x1.df5ef60000000p-1	0x1.c2c5e60000000p+10
101	0x1.a803860000000p-4	0x1.6564a80000000p+1	0x1.194bd60000000p+1	0x1.ad3a7e0000000p+0	0x1.c2c5e60000000p+10
102	0x1.9e2ec40000000p-4	0x1.0366560000000p+0	0x1.aa85b20000000p-1	0x1.0b74720000000p-1	0x1.c2c5e60000000p+10
