step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
97	0x1.07101e0000000p-3	0x1.4b45fa0000000p+3	0x1.f088180000000p+2	0x1.b46bfe0000000p+2	0x1.c2dda60000000p+10
98	0x1.8324fa0000000p-3	0x1.a1b50e0000000p+6	0x1.335df80000000p+6	0x1.1ad4ba0000000p+6	0x1.c2dda60000000p+10
99	0x1.c4487a0000000p-3	0x1.91de2a0000000p+4	0x1.234fa60000000p+4	0x1.1429b20000000p+4	0x1.c2dda60000000p+10
100	0x1.a0a6000000000p-3	0x1.313f180000000p+4	0x1.c09a880000000p+3	0x1.9ba0f80000000p+3	0x1.c2dda60000000p+10
101	0x1.5e65b40000000p-3	0x1.ba34320000000p+3	0x1.39391c0000000p+3	0x1.354e6e0000000p+3	0x1.c2dda60000000p+10
102	0x1.6862480000000p-3	0x1.7c87240000000p+5	0x1.1cadc20000000p+5	0x1.f8d3d20000000p+4	0x1.c2dda60000000p+10
103	0x1.3330860000000p-3	0x1.526cb80000000p+5	0x1.ecf69c0000000p+4	0x1.cfb3ae0000000p+4	0x1.c2dda60000000p+10
104	0x1.940af00000000p-3	0x1.2f3d660000000p+4	0x1.c56d280000000p+3	0x1.915a600000000p+3	0x1.c2dda60000000p+10
105	0x1.34a1ee0000000p-3	0x1.0002a40000000p+3	0x1.7585240000000p+2	0x1.5a9de80000000p+2	0x1.c2dda60000000p+10
106	0x1.a0560e0000000p-3	0x1.4611a20000000p+5	0x1.e575ca0000000p+4	0x1.b2bf680000000p+4	0x1.c2dda60000000p+10
107	0x1.f311ea0000000p-3	0x1.2144d80000000p+3	0x1.a518160000000p+2	0x1.811dba0000000p+2	0x1.c2dda60000000p+10
108	0x1.76bc660000000p-3	0x1.0fa3620000000p+3	0x1.8e58560000000p+2	0x1.6f0eac0000000p+2	0x1.c2dda60000000p+10
109	0x1.e9216e0000000p-3	0x1.69b4c40000000p+7	0x1.0a87380000000p+7	0x1.e9039a0000000p+6	0x1.c2dda60000000p+10
110	0x1.00955a0000000p-3	0x1.d28d960000000p+2	0x1.606b700000000p+2	0x1.2f1c740000000p+2	0x1.c2dda60000000p+10
111	0x1.873dbc0000000p-3	0x1.15c7800000000p+7	0x1.9e6b320000000p+6	0x1.71f1c00000000p+6	0x1.c2dda60000000p+10
112	0x1.f2acb00000000p-4	0x1.bad7120000000p+5	0x1.4dc2ee0000000p+5	0x1.22d69e0000000p+5	0x1.c2dda60000000p+10
113	0x1.2f91e20000000p-2	0x1.5c16f00000000p+4	0x1.f409260000000p+3	0x1.de475a0000000p+3	0x1.c2dda60000000p+10
114	0x1.0620460000000p-3	0x1.8216420000000p+1	0x1.0e7d200000000p+1	0x1.0724f80000000p+1	0x1.c2dda60000000p+10
115	0x1.86afc20000000p-3	0x1.20988c0000000p+4	0x1.af3b040000000p+3	0x1.7f24b20000000p+3	0x1.c2dda60000000p+10
116	0x1.31f1f60000000p-3	0x1.d220e20000000p+2	0x1.3eec300000000p+2	0x1.51ba4a0000000p+2	0x1.c2dda60000000p+10
117	0x1.3ebcda0000000p-3	0x1.d90cda0000000p+2	0x1.5fb3580000000p+2	0x1.3993fa0000000p+2	0x1.c2dda60000000p+10
118	0x1.db6b7a0000000p-4	0x1.ce7b120000000p+5	0x1.5c5acc0000000p+5	0x1.30129a0000000p+5	0x1.c2dda60000000p+10
119	0x1.126e580000000p-3	0x1.0289ce0000000p+3	0x1.6f77a40000000p+2	0x1.68affe0000000p+2	0x1.c2dda60000000p+10
120	0x1.18d7240000000p-3	0x1.49a4f40000000p+2	0x1.eb9bd60000000p+1	0x1.b1c6580000000p+1	0x1.c2dda80000000p+10
121	0x1.d3f4c60000000p-3	0x1.70d1500000000p+4	0x1.0192fa0000000p+4	0x1.0750780000000p+4	0x1.c2dda80000000p+10
122	0x1.0f75560000000p-3	0x1.5d5fbe0000000p+2	0x1.11c7660000000p+2	0x1.ad6c780000000p+1	0x1.c2dda80000000p+10
123	0x1.cb8d0e0000000p-4	0x1.b489ac0000000p+2	0x1.19171e0000000p+2	0x1.4b0c040000000p+2	0x1.c2dda80000000p+10
124	0x1.1013ce0000000p-3	0x1.ec57c00000000p+3	0x1.585b6c0000000p+3	0x1.5f939a0000000p+3	0x1.c2dda80000000p+10
125	0x1.6459240000000p-3	0x1.edfb220000000p+3	0x1.61ff1a0000000p+3	0x1.576e8c0000000p+3	0x1.c2dda80000000p+10
126	0x1.16ba940000000p-3	0x1.8ec13e0000000p+3	0x1.2d3d800000000p+3	0x1.04b0120000000p+3	0x1.c2dda80000000p+10
127	0x1.6538640000000p-4	0x1.213f9c0000000p+2	0x1.b654320000000p+1	0x1.75d1c60000000p+1	0x1.c2dda80000000p+10
128	0x1.b98a840000000p-4	0x1.7b0d860000000p+1	0x1.247b0a0000000p+1	0x1.c9af4a0000000p+0	0x1.c2dda80000000p+10
129	0x1.0b6e1a0000000p-3	0x1.403f0e0000000p+5	0x1.d0116e0000000p+4	0x1.b947f00000000p+4	0x1.c2dda80000000p+10
130	0x1.14119a0000000p-3	0x1.3c23c80000000p+3	0x1.d7896a0000000p+2	0x1.a371d40000000p+2	0x1.c2dda80000000p+10
131	0x1.4cd8ee0000000p-3	0x1.04b29a0000000p+7	0x1.75f3e00000000p+6	0x1.6b4b460000000p+6	0x1.c2dda80000000p+10
132	0x1.2a6c360000000p-3	0x1.dd1f380000000p+6	0x1.617edc0000000p+6	0x1.406b040000000p+6	0x1.c2dda80000000p+10
133	0x1.2a00fe0000000p-3	0x1.56fee00000000p+5	0x1.00fcde0000000p+5	0x1.c626c20000000p+4	0x1.c2dda60000000p+10
134	0x1.52d5860000000p-3	0x1.0a3ffa0000000p+3	0x1.7f60100000000p+2	0x1.6c833e0000000p+2	0x1.c2dda80000000p+10
135	0x1.fc3a5e0000000p-4	0x1.253b860000000p+5	0x1.9525040000000p+4	0x1.a7b40a0000000p+4	0x1.c2dda60000000p+10
136	0x1.b4f5340000000p-3	0x1.8a04f60000000p+7	0x1.2c033c0000000p+7	0x1.fec13e0000000p+6	0x1.c2dda80000000p+10
137	0x1.5f903e0000000p-3	0x1.633d260000000p+6	0x1.05fd9e0000000p+6	0x1.dfc1600000000p+5	0x1.c2dda60000000p+10
138	0x1.ed6dde0000000p-4	0x1.39b9720000000p+4	0x1.d90c1a0000000p+3	0x1.9b2a020000000p+3	0x1.c2dda80000000p+10
139	0x1.ef96b40000000p-4	0x1.39a6060000000p+3	0x1.c1440e0000000p+2	0x1.b179720000000p+2	0x1.c2dda80000000p+10
140	0x1.c8231a0000000p-4	0x1.29bbfe0000000p+5	0x1.c191a00000000p+4	0x1.8643ca0000000p+4	0x1.c2dda80000000p+10
141	0x1.50d4b00000000p-3	0x1.afecbe0000000p+4	0x1.33930e0000000p+4	0x1.2ee5680000000p+4	0x1.c2dda80000000p+10
142	0x1.2ced840000000p-3	0x1.e005920000000p+2	0x1.6b59500000000p+2	0x1.378cc80000000p+2	0x1.c2dda80000000p+10
143	0x1.da5be00000000p-4	0x1.49b5b20000000p+3	0x1.a396980000000p+2	0x1.fb24480000000p+2	0x1.c2dda80000000p+10
144	0x1.f631e60000000p-4	0x1.1070220000000p+2	0x1.935fb20000000p+1	0x1.696cf60000000p+1	0x1.c2dda80000000p+10
145	0x1.80a1080000000p-4	0x1.d1fe080000000p+1	0x1.5c5f760000000p+1	0x1.2d32560000000p+1	0x1.c2dda80000000p+10
146	0x1.8df8640000000p-4	0x1.a6620e0000000p+5	0x1.2892d20000000p+5	0x1.2cb9600000000p+5	0x1.c2dda80000000p+10
147	0x1.51e43e0000000p-3	0x1.7663a80000000p+6	0x1.16603a0000000p+6	0x1.f4a4c60000000p+5	0x1.c2dda80000000p+10
148	0x1.0c56500000000p-3	0x1.4d3e560000000p+4	0x1.e60f100000000p+3	0x1.c73f600000000p+3	0x1.c2dda80000000p+10
149	0x1.e270f40000000p-4	0x1.88ce9a0000000p+2	0x1.16380c0000000p+2	0x1.139d120000000p+2	0x1.c2dda60000000p+10
150	0x1.38d28e0000000p-3	0x1.0e02420000000p+4	0x1.8f11320000000p+3	0x1.6b21460000000p+3	0x1.c2dda80000000p+10
151	0x1.2d9c0e0000000p-4	0x1.a2ace00000000p+0	0x1.428acc0000000p+0	0x1.f984960000000p-1	0x1.c2dda80000000p+10
152	0x1.a7a3b60000000p-4	0x1.a35d4a0000000p+1	0x1.42e8ae0000000p+1	0x1.068f060000000p+1	0x1.c2dda80000000p+10
153	0x1.729ae00000000p-4	0x1.02eca40000000p+2	0x1.8e34640000000p+1	0x1.479ac40000000p+1	0x1.c2dda80000000p+10
154	0x1.c908460000000p-4	0x1.351c5c0000000p+1	0x1.d1fba00000000p+0	0x1.8b13b60000000p+0	0x1.c2dda80000000p+10
155	0x1.8d274c0000000p-4	0x1.1e22000000000p+2	0x1.bc0c2c0000000p+1	0x1.63c3900000000p+1	0x1.c2dda80000000p+10
156	0x1.49b1140000000p-3	0x1.837fca0000000p+3	0x1.2295c60000000p+3	0x1.ff72500000000p+2	0x1.c2dda80000000p+10
157	0x1.a2651e0000000p-3	0x1.141b880000000p+2	0x1.b715d80000000p+1	0x1.382fee0000000p+1	0x1.c2dda80000000p+10
158	0x1.cde8500000000p-4	0x1.e7c3460000000p+2	0x1.6e29d00000000p+2	0x1.41061a0000000p+2	0x1.c2ddaa0000000p+10
159	0x1.f6c9660000000p-4	0x1.b4c0f40000000p+3	0x1.3492960000000p+3	0x1.3487c80000000p+3	0x1.c2ddaa0000000p+10
160	0x1.f93de00000000p-4	0x1.56251a0000000p+3	0x1.0211280000000p+3	0x1.be79fe0000000p+2	0x1.c2ddaa0000000p+10
161	0x1.697a000000000p-3	0x1.03221c0000000p+6	0x1.7fb97c0000000p+5	0x1.5c12f80000000p+5	0x1.c2ddaa0000000p+10
162	0x1.a2d1b40000000p-3	0x1.60f6940000000p+6	0x1.1191180000000p+6	0x1.bde64e0000000p+5	0x1.c2ddaa0000000p+10
163	0x1.73cfa00000000p-4	0x1.6fdffa0000000p+5	0x1.12a4880000000p+5	0x1.e96b140000000p+4	0x1.c2ddaa0000000p+10
164	0x1.080cce0000000p-3	0x1.a0d65c0000000p+4	0x1.31a21c0000000p+4	0x1.1b2d560000000p+4	0x1.c2ddaa0000000p+10
165	0x1.866f0e0000000p-4	0x1.e622f20000000p+3	0x1.5970440000000p+3	0x1.5562620000000p+3	0x1.c2ddaa0000000p+10
166	0x1.37c6de0000000p-4	0x1.0f47e80000000p+2	0x1.800d680000000p+1	0x1.7ba1220000000p+1	0x1.c2ddaa0000000p+10
167	0x1.1f891e0000000p-3	0x1.3a75aa0000000p+6	0x1.f267640000000p+5	0x1.7f8d600000000p+5	0x1.c2ddaa0000000p+10
168	0x1.92c5a60000000p-4	0x1.0d95740000000p+3	0x1.91d3340000000p+2	0x1.66988e0000000p+2	0x1.c2ddaa0000000p+10
169	0x1.0fbc4c0000000p-3	0x1.f827ec0000000p+3	0x1.90a5dc0000000p+3	0x1.2e75d60000000p+3	0x1.c2ddaa0000000p+10
170	0x1.4b5ede0000000p-4	0x1.3d3ac60000000p+2	0x1.e474e80000000p+1	0x1.96f7140000000p+1	0x1.c2ddaa0000000p+10
171	0x1.b5cc940000000p-4	0x1.bdd4d60000000p+4	0x1.5cbf540000000p+4	0x1.15a9aa0000000p+4	0x1.c2ddaa0000000p+10
172	0x1.d412fa0000000p-4	0x1.ea7e7e0000000p+1	0x1.7ca79a0000000p+1	0x1.28dc020000000p+1	0x1.c2ddaa0000000p+10
173	0x1.3b50780000000p-3	0x1.4142600000000p+5	0x1.dedfc00000000p+4	0x1.ac416a0000000p+4	0x1.c2ddaa0000000p+10
174	0x1.22a16c0000000p-3	0x1.0a12700000000p+7	0x1.8661320000000p+6	0x1.69945c0000000p+6	0x1.c2ddaa0000000p+10
175	0x1.3d10760000000p-4	0x1.9caac40000000p+2	0x1.2d8c540000000p+2	0x1.1899220000000p+2	0x1.c2ddaa0000000p+10
176	0x1.44d54a0000000p-4	0x1.9bfd580000000p+3	0x1.364a1c0000000p+3	0x1.0e82e60000000p+3	0x1.c2ddaa0000000p+10
177	0x1.a3ec260000000p-4	0x1.f9e7480000000p+4	0x1.700fb60000000p+4	0x1.5b0ace0000000p+4	0x1.c2ddaa0000000p+10
178	0x1.a6dbe60000000p-4	0x1.3fd2980000000p+2	0x1.f4fd440000000p+1	0x1.898e480000000p+1	0x1.c2ddaa0000000p+10
179	0x1.436af60000000p-3	0x1.ff08200000000p+4	0x1.98a4c60000000p+4	0x1.32542e0000000p+4	0x1.c2ddaa0000000p+10
180	0x1.83cd460000000p-4	0x1.3379760000000p+1	0x1.da3bd60000000p+0	0x1.7846e80000000p+0	0x1.c2ddaa0000000p+10
