step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
94	0x1.56e9a40000000p-3	0x1.8f24640000000p+2	0x1.3c2dca0000000p+2	0x1.c0c60c0000000p+1	0x1.c2c5e60000000p+10
95	0x1.ef030e0000000p-4	0x1.2ea8120000000p+2	0x1.d3d5380000000p+1	0x1.7ac8820000000p+1	0x1.c2c5e60000000p+10
96	0x1.7ff5100000000p-4	0x1.3dd73a0000000p+1	0x1.ebc6340000000p+0	0x1.7b7e540000000p+0	0x1.c2c5e60000000p+10
97	0x1.653c0e0000000p-4	0x1.0071020000000p+2	0x1.9dba040000000p+1	0x1.2951440000000p+1	0x1.c2c5e60000000p+10
98	0x1.e5cff40000000p-4	0x1.7fae700000000p+1	0x1.3029a40000000p+1	0x1.c2168e0000000p+0	0x1.c2c5e60000000p+10
99	0x1.0449d40000000p-3	0x1.e541380000000p+2	0x1.75e2440000000p+2	0x1.2eae020000000p+2	0x1.c2c5e60000000p+10
100	0x1.556f780000000p-3	0x1.b6598e0000000p+2	0x1.6dbdb80000000p+2	0x1.cee3540000000p+1	0x1.c2c5e60000000p+10
101	0x1.cbd9540000000p-4	0x1.ff03b00000000p+1	0x1.8f36940000000p+1	0x1.2be0b60000000p+1	0x1.c2c5e60000000p+10
102	0x1.739faa0000000p-4	0x1.0e38440000000p+2	0x1.a1c4be0000000p+1	0x1.52f4260000000p+1	0x1.c2c5e60000000p+10
103	0x1.92bc9a0000000p-4	0x1.be29980000000p+0	0x1.73a8140000000p+0	0x1.c93d0c0000000p-1	0x1.c2c5e60000000p+10
104	0x1.d7a8240000000p-4	0x1.4007660000000p+1	0x1.02a61c0000000p+1	0x1.42df880000000p+0	0x1.c2c5e60000000p+10
105	0x1.f2fcfa0000000p-4	0x1.56f8580000000p+3	0x1.f325ce0000000p+2	0x1.d57e980000000p+2	0x1.c2c5e60000000p+10
106	0x1.50e3d40000000p-3	0x1.0dec360000000p+5	0x1.9161b80000000p+4	0x1.6853640000000p+4	0x1.c2c5e40000000p+10
107	0x1.b215c60000000p-3	0x1.bed9860000000p+2	0x1.6f9dda0000000p+2	0x1.d533da0000000p+1	0x1.c2c5e60000000p+10
108	0x1.c8cf800000000p-4	0x1.03606a0000000p+2	0x1.946efe0000000p+1	0x1.3febde0000000p+1	0x1.c2c5e60000000p+10
109	0x1.93a4fe0000000p-4	0x1.bb0f9c0000000p+0	0x1.6b86060000000p+0	0x1.d30d000000000p-1	0x1.c2c5e60000000p+10
110	0x1.6a4c600000000p-4	0x1.a960e00000000p+1	0x1.57bb3c0000000p+1	0x1.db13fc0000000p+0	0x1.c2c5e60000000p+10
111	0x1.14089c0000000p-3	0x1.4da5020000000p+2	0x1.1841980000000p+2	0x1.46c06c0000000p+1	0x1.c2c5e60000000p+10
112	0x1.2b41900000000p-4	0x1.a807780000000p+0	0x1.516a140000000p+0	0x1.e1f0f20000000p-1	0x1.c2c5e60000000p+10
113	0x1.bc84ee0000000p-3	0x1.38d9c60000000p+4	0x1.d9a4f80000000p+3	0x1.90b2ce0000000p+3	0x1.c2c5e60000000p+10
114	0x1.e21df00000000p-4	0x1.dacfe80000000p+3	0x1.6be4400000000p+3	0x1.2f288a0000000p+3	0x1.c2c5e60000000p+10
115	0x1.81ccea0000000p-4	0x1.accd360000000p+2	0x1.4758aa0000000p+2	0x1.13a9cc0000000p+2	0x1.c2c5e60000000p+10
116	0x1.8602340000000p-4	0x1.21a5480000000p+2	0x1.b56c4e0000000p+1	0x1.76ac180000000p+1	0x1.c2c5e60000000p+10
117	0x1.b635060000000p-4	0x1.02ba380000000p+1	0x1.afe9fc0000000p+0	0x1.f5f12c0000000p-1	0x1.c2c5e60000000p+10
118	0x1.7b5b4e0000000p-4	0x1.1f9fec0000000p+2	0x1.a555720000000p+1	0x1.82a0bc0000000p+1	0x1.c2c5e60000000p+10
119	0x1.3113a00000000p-4	0x1.1f2d800000000p+2	0x1.bb91320000000p+1	0x1.689a620000000p+1	0x1.c2c5e60000000p+10
120	0x1.7453ce0000000p-4	0x1.2ec33c0000000p+1	0x1.d8d8b00000000p+0	0x1.66c7b40000000p+0	0x1.c2c5e60000000p+10
121	0x1.c605940000000p-4	0x1.756ac80000000p+1	0x1.22d6440000000p+1	0x1.64b9380000000p+0	0x1.c2c5e60000000p+10
122	0x1.a26e2e0000000p-4	0x1.01fd380000000p+2	0x1.9d32bc0000000p+1	0x1.30ddbc0000000p+1	0x1.c2c5e60000000p+10
123	0x1.55e5360000000p-4	0x1.95bb700000000p+2	0x1.4b8b080000000p+2	0x1.ca7d860000000p+1	0x1.c2c5e80000000p+10
124	0x1.8b47360000000p-4	0x1.0db3400000000p+2	0x1.aa5f0a0000000p+1	0x1.46f98e0000000p+1	0x1.c2c5e80000000p+10
125	0x1.03985c0000000p-3	0x1.322ece0000000p+3	0x1.d549bc0000000p+2	0x1.878eea0000000p+2	0x1.c2c5e80000000p+10
126	0x1.7ddb5a0000000p-4	0x1.7021680000000p+1	0x1.21594c0000000p+1	0x1.ba7df20000000p+0	0x1.c2c5e80000000p+10
127	0x1.f2fdce0000000p-5	0x1.67a71c0000000p+1	0x1.22918c0000000p+1	0x1.9b6be00000000p+0	0x1.c2c5e80000000p+10
128	0x1.a4c3b60000000p-4	0x1.df51a80000000p+1	0x1.7badb40000000p+1	0x1.1a468c0000000p+1	0x1.c2c5e80000000p+10
129	0x1.58b4100000000p-4	0x1.347fa20000000p+2	0x1.c92ecc0000000p+1	0x1.9b74080000000p+1	0x1.c2c5e80000000p+10
130	0x1.832b300000000p-4	0x1.d307f80000000p+2	0x1.5627ce0000000p+2	0x1.3be77a0000000p+2	0x1.c2c5e80000000p+10
131	0x1.36cf300000000p-4	0x1.6e81c80000000p+1	0x1.332fd80000000p+1	0x1.7522660000000p+0	0x1.c2c5e80000000p+10
132	0x1.0dc2c80000000p-4	0x1.29b2b20000000p+2	0x1.cf66b80000000p+1	0x1.73ba180000000p+1	0x1.c2c5e80000000p+10
133	0x1.7946cc0000000p-4	0x1.9da4b80000000p+1	0x1.44a6360000000p+1	0x1.f414360000000p+0	0x1.c2c5e80000000p+10
134	0x1.3ba3820000000p-4	0x1.2491b40000000p+1	0x1.eabe920000000p+0	0x1.26c0240000000p+0	0x1.c2c5e80000000p+10
135	0x1.11042a0000000p-4	0x1.176ea80000000p+2	0x1.c4adfe0000000p+1	0x1.44eb380000000p+1	0x1.c2c5e80000000p+10
136	0x1.fbf0860000000p-4	0x1.1c1f380000000p+4	0x1.af047e0000000p+3	0x1.7186ee0000000p+3	0x1.c2c5e80000000p+10
137	0x1.3da75e0000000p-4	0x1.5ee6f60000000p+3	0x1.0910cc0000000p+3	0x1.ca82020000000p+2	0x1.c2c5e80000000p+10
138	0x1.6c4df20000000p-4	0x1.0a088c0000000p+3	0x1.9d2b8c0000000p+2	0x1.4c576a0000000p+2	0x1.c2c5e80000000p+10
139	0x1.4b249c0000000p-4	0x1.98bce00000000p+4	0x1.2d83e40000000p+4	0x1.12f5600000000p+4	0x1.c2c5e80000000p+10
140	0x1.517a2e0000000p-4	0x1.26f5e40000000p+2	0x1.bf5fc00000000p+1	0x1.7dbee60000000p+1	0x1.c2c5e80000000p+10
141	0x1.4196060000000p-4	0x1.0a3e9a0000000p+3	0x1.a4467e0000000p+2	0x1.45b3820000000p+2	0x1.c2c5e80000000p+10
142	0x1.a71ee60000000p-4	0x1.1531e60000000p+2	0x1.b283a20000000p+1	0x1.543b220000000p+1	0x1.c2c5e80000000p+10
143	0x1.053f300000000p-4	0x1.7a51f60000000p+1	0x1.32665e0000000p+1	0x1.b230100000000p+0	0x1.c2c5e80000000p+10
144	0x1.7e664c0000000p-4	0x1.c2a8940000000p+2	0x1.5568d40000000p+2	0x1.2541140000000p+2	0x1.c2c5e80000000p+10
145	0x1.dae3140000000p-5	0x1.7924000000000p+1	0x1.202daa0000000p+1	0x1.e1085e0000000p+0	0x1.c2c5e80000000p+10
146	0x1.cc71660000000p-5	0x1.abd9e80000000p+1	0x1.4d3a620000000p+1	0x1.0924d60000000p+1	0x1.c2c5e80000000p+10
147	0x1.4e4d960000000p-4	0x1.6fad8c0000000p+2	0x1.29cf4a0000000p+2	0x1.a6f8fc0000000p+1	0x1.c2c5e80000000p+10
148	0x1.58579c0000000p-4	0x1.126f460000000p+2	0x1.b236160000000p+1	0x1.4842da0000000p+1	0x1.c2c5e80000000p+10
149	0x1.6d01b20000000p-4	0x1.e769420000000p+0	0x1.a2aa320000000p+0	0x1.d2f27e0000000p-1	0x1.c2c5e80000000p+10
150	0x1.b59a440000000p-4	0x1.32f40a0000000p+4	0x1.cde5f40000000p+3	0x1.932d540000000p+3	0x1.c2c5e80000000p+10
151	0x1.c866e00000000p-5	0x1.7bec0e0000000p+0	0x1.42e9e60000000p+0	0x1.6e500c0000000p-1	0x1.c2c5e80000000p+10
152	0x1.00a8c80000000p-4	0x1.5f14200000000p+1	0x1.11740c0000000p+1	0x1.b21ca40000000p+0	0x1.c2c5e80000000p+10
153	0x1.fe51200000000p-5	0x1.4eedc00000000p+2	0x1.fdfe3a0000000p+1	0x1.b082060000000p+1	0x1.c2c5e80000000p+10
154	0x1.1eed300000000p-4	0x1.a70dd60000000p+1	0x1.478ddc0000000p+1	0x1.0884660000000p+1	0x1.c2c5e80000000p+10
