2026/08/27 00:11:56.168, 0, 0 %, 0 %, 44646 MiB, 76.88 W
2026/08/27 00:11:56.238, 1, 0 %, 0 %, 440 MiB, 69.75 W
2026/08/27 00:11:57.073, 0, 0 %, 0 %, 44646 MiB, 76.88 W
2026/08/27 00:11:57.073, 1, 0 %, 0 %, 440 MiB, 80.61 W
2026/08/27 00:11:58.475, 0, 0 %, 0 %, 44646 MiB, 68.54 W
2026/08/27 00:11:58.553, 1, 0 %, 0 %, 440 MiB, 81.70 W
2026/08/27 00:11:59.958, 0, 0 %, 0 %, 44646 MiB, 51.50 W
2026/08/27 00:11:59.958, 1, 0 %, 0 %, 440 MiB, 56.18 W
2026/08/27 00:12:00.815, 0, 0 %, 0 %, 44646 MiB, 57.19 W
2026/08/27 00:12:00.911, 1, 0 %, 0 %, 440 MiB, 56.18 W
2026/08/27 00:12:01.840, 0, 0 %, 0 %, 44646 MiB, 76.62 W
2026/08/27 00:12:01.840, 1, 0 %, 0 %, 440 MiB, 77.85 W
2026/08/27 00:12:02.643, 0, 0 %, 0 %, 44646 MiB, 84.39 W
2026/08/27 00:12:02.643, 1, 0 %, 0 %, 440 MiB, 77.85 W
2026/08/27 00:12:03.762, 0, 0 %, 0 %, 44646 MiB, 84.39 W
2026/08/27 00:12:03.775, 1, 0 %, 0 %, 440 MiB, 66.12 W
2026/08/27 00:12:05.439, 0, 0 %, 0 %, 44646 MiB, 84.39 W
2026/08/27 00:12:05.439, 1, 0 %, 0 %, 440 MiB, 63.16 W
2026/08/27 00:12:05.942, 0, 0 %, 0 %, 44646 MiB, 84.39 W
2026/08/27 00:12:05.947, 1, 0 %, 0 %, 440 MiB, 73.44 W
2026/08/27 00:12:06.457, 0, 0 %, 0 %, 44646 MiB, 84.39 W
2026/08/27 00:12:06.502, 1, 0 %, 0 %, 440 MiB, 73.44 W
2026/08/27 00:12:07.146, 0, 0 %, 0 %, 44646 MiB, 84.39 W
2026/08/27 00:12:07.146, 1, 0 %, 0 %, 440 MiB, 69.14 W
2026/08/27 00:12:08.528, 0, 0 %, 0 %, 44646 MiB, 84.39 W
2026/08/27 00:12:09.558, 1, 0 %, 0 %, 440 MiB, 64.27 W
2026/08/27 00:12:10.240, 0, 0 %, 0 %, 44646 MiB, 84.39 W
