step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
90	0x1.304bb40000000p-3	0x1.894aba0000000p+1	0x1.27136a0000000p+1	0x1.f10faa0000000p+0	0x1.c2dda60000000p+10
91	0x1.1770c60000000p-3	0x1.2d42500000000p+2	0x1.84ed420000000p+1	0x1.c39cb60000000p+1	0x1.c2dda60000000p+10
92	0x1.1224ba0000000p-3	0x1.51b27c0000000p+2	0x1.f72c2e0000000p+1	0x1.bc15ac0000000p+1	0x1.c2dda60000000p+10
93	0x1.92c2140000000p-3	0x1.13007c0000000p+3	0x1.85bfc40000000p+2	0x1.7f3eb20000000p+2	0x1.c2dda60000000p+10
94	0x1.e5509a0000000p-3	0x1.b97ae80000000p+3	0x1.1e17140000000p+3	0x1.4ad8dc0000000p+3	0x1.c2dda60000000p+10
95	0x1.d6f2b40000000p-3	0x1.e16d5a0000000p+5	0x1.3dd64c0000000p+5	0x1.6979600000000p+5	0x1.c2dda60000000p+10
96	0x1.fa4cea0000000p-4	0x1.e210880000000p+2	0x1.6e5be20000000p+2	0x1.35545c0000000p+2	0x1.c2dda60000000p+10
97	0x1.23f8a60000000p-3	0x1.3606cc0000000p+5	0x1.b5b7200000000p+4	0x1.b6f83e0000000p+4	0x1.c2dda60000000p+10
98	0x1.688ec60000000p-3	0x1.d9f7240000000p+6	0x1.5cfc460000000p+6	0x1.40ae760000000p+6	0x1.c2dda60000000p+10
99	0x1.a459e60000000p-3	0x1.6264660000000p+4	0x1.e080d80000000p+3	0x1.0419020000000p+4	0x1.c2dda60000000p+10
100	0x1.80d99c0000000p-3	0x1.b0bb460000000p+4	0x1.5f8fce0000000p+4	0x1.f7aaea0000000p+3	0x1.c2dda60000000p+10
101	0x1.60ad2c0000000p-3	0x1.5566280000000p+4	0x1.f2eca80000000p+3	0x1.d136ae0000000p+3	0x1.c2dda60000000p+10
102	0x1.20e5ba0000000p-3	0x1.5637120000000p+5	0x1.ed95060000000p+4	0x1.d9ec440000000p+4	0x1.c2dda60000000p+10
103	0x1.65ccca0000000p-3	0x1.a81b400000000p+3	0x1.37d9720000000p+3	0x1.1e18e00000000p+3	0x1.c2dda60000000p+10
104	0x1.408a300000000p-3	0x1.d82bd80000000p+2	0x1.3889a80000000p+2	0x1.5cc9f60000000p+2	0x1.c2dda60000000p+10
105	0x1.22bc6c0000000p-2	0x1.308d980000000p+5	0x1.fdc0500000000p+4	0x1.4a3abe0000000p+4	0x1.c2dda60000000p+10
106	0x1.f37f0e0000000p-4	0x1.7f14960000000p+1	0x1.1fa6840000000p+1	0x1.e57e440000000p+0	0x1.c2dda60000000p+10
107	0x1.12ffe60000000p-2	0x1.d9940a0000000p+3	0x1.6c18a60000000p+3	0x1.2998660000000p+3	0x1.c2dda60000000p+10
108	0x1.9576f00000000p-3	0x1.175e440000000p+5	0x1.8bd4900000000p+4	0x1.8a114c0000000p+4	0x1.c2dda60000000p+10
109	0x1.3169660000000p-3	0x1.0f8f9e0000000p+4	0x1.72d8560000000p+3	0x1.8bef340000000p+3	0x1.c2dda60000000p+10
110	0x1.f6bf0e0000000p-4	0x1.77953e0000000p+3	0x1.1b34960000000p+3	0x1.e95de20000000p+2	0x1.c2dda60000000p+10
111	0x1.5e4ea20000000p-3	0x1.6d3b440000000p+2	0x1.1eecda0000000p+2	0x1.aa9cf00000000p+1	0x1.c2dda60000000p+10
112	0x1.a8f3c60000000p-4	0x1.852f940000000p+3	0x1.21adf40000000p+3	0x1.030e5c0000000p+3	0x1.c2dda60000000p+10
113	0x1.a681ae0000000p-3	0x1.29bcac0000000p+4	0x1.c7e2600000000p+3	0x1.7cf1980000000p+3	0x1.c2dda60000000p+10
114	0x1.1f7b140000000p-3	0x1.f4c73c0000000p+2	0x1.6484800000000p+2	0x1.5b63a80000000p+2	0x1.c2dda60000000p+10
115	0x1.5137220000000p-3	0x1.f72e220000000p+3	0x1.30f8840000000p+3	0x1.8fa6d40000000p+3	0x1.c2dda60000000p+10
116	0x1.17e0700000000p-3	0x1.4030180000000p+2	0x1.dfc3360000000p+1	0x1.a0da300000000p+1	0x1.c2dda60000000p+10
117	0x1.19d96e0000000p-3	0x1.317d4a0000000p+2	0x1.cdbdf80000000p+1	0x1.8758940000000p+1	0x1.c2dda60000000p+10
118	0x1.7d983a0000000p-3	0x1.922ddc0000000p+4	0x1.253c5a0000000p+4	0x1.1255100000000p+4	0x1.c2dda60000000p+10
119	0x1.fcd7c60000000p-4	0x1.bcafce0000000p+2	0x1.4c0a6c0000000p+2	0x1.2372d60000000p+2	0x1.c2dda60000000p+10
