2026/08/26 21:07:27.441, 0, 0 %, 0 %, 1017 MiB, 25.67 W
2026/08/26 21:07:27.441, 1, 0 %, 0 %, 9 MiB, 29.19 W
2026/08/26 21:07:27.942, 0, 0 %, 0 %, 1017 MiB, 25.48 W
2026/08/26 21:07:27.942, 1, 0 %, 0 %, 9 MiB, 29.21 W
2026/08/26 21:07:28.442, 0, 0 %, 0 %, 1017 MiB, 25.48 W
2026/08/26 21:07:28.442, 1, 0 %, 0 %, 9 MiB, 29.21 W
2026/08/26 21:07:28.943, 0, 0 %, 0 %, 1017 MiB, 25.31 W
2026/08/26 21:07:28.943, 1, 0 %, 0 %, 9 MiB, 29.17 W
2026/08/26 21:07:29.443, 0, 0 %, 0 %, 1017 MiB, 25.31 W
2026/08/26 21:07:29.443, 1, 0 %, 0 %, 9 MiB, 29.17 W
2026/08/26 21:07:29.943, 0, 0 %, 0 %, 1017 MiB, 25.20 W
2026/08/26 21:07:29.944, 1, 0 %, 0 %, 9 MiB, 29.11 W
2026/08/26 21:07:30.444, 0, 0 %, 0 %, 1017 MiB, 25.20 W
2026/08/26 21:07:30.444, 1, 0 %, 0 %, 9 MiB, 29.11 W
2026/08/26 21:07:30.944, 0, 0 %, 0 %, 1017 MiB, 25.21 W
2026/08/26 21:07:30.945, 1, 0 %, 0 %, 9 MiB, 29.13 W
2026/08/26 21:07:31.445, 0, 0 %, 0 %, 1017 MiB, 25.21 W
2026/08/26 21:07:31.445, 1, 0 %, 0 %, 9 MiB, 29.13 W
2026/08/26 21:07:31.945, 0, 0 %, 0 %, 1017 MiB, 25.25 W
2026/08/26 21:07:31.946, 1, 0 %, 0 %, 9 MiB, 29.14 W
2026/08/26 21:07:32.446, 0, 0 %, 0 %, 1017 MiB, 25.25 W
2026/08/26 21:07:32.446, 1, 0 %, 0 %, 9 MiB, 29.14 W
2026/08/26 21:07:32.946, 0, 0 %, 0 %, 1017 MiB, 25.17 W
2026/08/26 21:07:32.947, 1, 0 %, 0 %, 9 MiB, 29.12 W
2026/08/26 21:07:33.447, 0, 0 %, 0 %, 1017 MiB, 25.17 W
2026/08/26 21:07:33.447, 1, 0 %, 0 %, 9 MiB, 29.12 W
2026/08/26 21:07:33.947, 0, 0 %, 0 %, 1017 MiB, 24.92 W
2026/08/26 21:07:33.947, 1, 0 %, 0 %, 9 MiB, 29.07 W
2026/08/26 21:07:34.448, 0, 0 %, 0 %, 1017 MiB, 24.92 W
2026/08/26 21:07:34.448, 1, 0 %, 0 %, 9 MiB, 29.07 W
2026/08/26 21:07:34.948, 0, 0 %, 0 %, 1017 MiB, 24.74 W
2026/08/26 21:07:34.948, 1, 0 %, 0 %, 9 MiB, 29.09 W
2026/08/26 21:07:35.449, 0, 0 %, 0 %, 1017 MiB, 24.74 W
2026/08/26 21:07:35.449, 1, 0 %, 0 %, 9 MiB, 29.09 W
2026/08/26 21:07:35.949, 0, 0 %, 0 %, 1017 MiB, 24.75 W
2026/08/26 21:07:35.949, 1, 0 %, 0 %, 9 MiB, 29.13 W
2026/08/26 21:07:36.450, 0, 0 %, 0 %, 1017 MiB, 24.75 W
2026/08/26 21:07:36.450, 1, 0 %, 0 %, 9 MiB, 29.13 W
2026/08/26 21:07:36.950, 0, 0 %, 0 %, 1017 MiB, 24.84 W
2026/08/26 21:07:36.950, 1, 0 %, 0 %, 9 MiB, 29.11 W
2026/08/26 21:07:37.450, 0, 0 %, 0 %, 1017 MiB, 24.84 W
2026/08/26 21:07:37.451, 1, 0 %, 0 %, 9 MiB, 29.11 W
2026/08/26 21:07:37.951, 0, 0 %, 0 %, 1017 MiB, 24.86 W
2026/08/26 21:07:37.951, 1, 0 %, 0 %, 9 MiB, 29.11 W
2026/08/26 21:07:38.451, 0, 0 %, 0 %, 1017 MiB, 24.86 W
2026/08/26 21:07:38.452, 1, 0 %, 0 %, 9 MiB, 29.11 W
2026/08/26 21:07:38.952, 0, 0 %, 0 %, 1017 MiB, 24.77 W
2026/08/26 21:07:38.952, 1, 0 %, 0 %, 9 MiB, 29.09 W
2026/08/26 21:07:39.452, 0, 0 %, 0 %, 1017 MiB, 24.77 W
2026/08/26 21:07:39.453, 1, 0 %, 0 %, 9 MiB, 29.09 W
2026/08/26 21:07:39.953, 0, 0 %, 0 %, 1017 MiB, 24.68 W
2026/08/26 21:07:39.953, 1, 0 %, 0 %, 9 MiB, 29.08 W
